,author,date,n_likes,n_reposts,with_photo,is_repost?,text,translation
41,dying,2015-08-16,3161,86,False,False,1 накосячить 2 попытаться исправлять 3 накосячить,1 mess up 2 try to fix 3 mess up
42,dying,2015-08-16,3681,61,False,False,значит неа значит пока выебываться,"it means no, it means to fuck off for now"
43,dying,2015-08-16,206,1,True,True,DELETED 5 авг 2015 9 04,DELETED 5 Aug 2015 9 04
44,dying,2015-08-16,4054,69,False,False,любовь настя,love nastya
45,dying,2015-08-16,3438,35,False,False,лайков ебать красиво становиться,likes fuck become beautiful
46,dying,2015-08-16,5027,125,False,False,голубой глаз восхитительный,blue eye amazing
47,dying,2015-08-16,3233,71,False,False,каждый должный свой карина,everyone owes his own karina
48,dying,2015-08-16,2459,33,False,False,текст бессмысленный твой жизнь,text meaningless your life
49,dying,2015-08-16,3180,56,False,False,счастливый жизнь лола погодить сечь,happy life lola wait a minute
50,dying,2015-08-16,3623,56,False,False,никто нужный смиряться,no one needs to put up with
51,dying,2015-08-16,2029,58,False,False,каждый настя фея,every nastya fairy
52,dying,2015-08-16,1702,33,False,False,слышь че дерзкий просто полина,"Hey, che arrogant just Polina"
53,dying,2015-08-16,2238,17,False,False,спасибо целый месяц счастие хотя спасибо уебок,thank you whole month happiness though thanks motherfucker
54,dying,2015-08-16,1743,24,False,False,боже просто женя,oh my god just a wife
55,dying,2015-08-16,2097,29,False,False,смело,boldly
56,dying,2015-08-16,2099,33,False,False,простоуйдинахуй,just fuck off
57,dying,2015-08-16,1722,26,False,False,каждый влад бандитка ама хасл ама ама хасл,every vlad banditka ama hasl ama ama hasl
58,dying,2015-08-16,1133,6,False,False,каждый даша должный свой темочка,each dasha has its own theme
59,dying,2015-08-16,2154,35,False,False,каждый вика малявка ...,every vika is a baby...
60,dying,2015-08-16,703,10,False,False,каждый эмилий милый,every emily is cute
61,dying,2015-08-16,1774,36,False,False,гулять друг собака,walk each dog
62,dying,2015-08-16,549,8,False,False,каждый маша должный свой инна,every masha owes his inna
63,dying,2015-08-16,611,8,False,False,каждый ксюша должный свой кенан каждый кенан должный свой ксюша,each kenan owes its own kenan each kenan owes its own kenan
64,dying,2015-08-16,1002,24,False,False,здорово сестренка иринка который любить который любить,cool sister irinka who love who love
65,dying,2015-08-16,3425,30,False,False,мб самый красивый зато орех норма,mb the most beautiful but the nut is the norm
66,dying,2015-08-16,923,10,False,False,каждый маша должный свой ира,each masha owes his ira
67,dying,2015-08-16,2050,55,False,False,голубой глаз темный волос высокий рост идеальный сочетание,blue eye dark hair tall perfect combination
68,dying,2015-08-15,651,1,False,False,редко бывать сестра анита рита,rarely visit sister anita rita
69,dying,2015-08-15,991,14,False,False,любовь милена,love milena
70,dying,2015-08-15,558,6,False,False,каждый карина должный свой влад каждый влада должный свой карина,each Karina owes her own Vlad each Vlad owes her Karina
71,dying,2015-08-15,878,22,False,False,каждый ира должный свой даша каждый даша должный свой ира,each ira owes his dasha each dasha owes his own ira
72,dying,2015-08-15,1783,28,False,False,любить друг друг убивать,love each other kill
73,dying,2015-08-15,1969,55,True,False,мочь взять убегать бросать весь попросить убегать вместе,be able to take to run away throw the whole ask to run away together
74,dying,2015-08-15,3150,124,False,False,класс это столица школа класс гангстер класс учиться элита учитель бояться класс кроме класс холоп отличник вести гопот класс некоторые мочь приходить бухой урок,the class is the capital school the gangster class the class to study the elite the teacher to be afraid of the class besides the class the serf the excellent student to lead the gopot class some to be able to come drunk lesson
75,dying,2015-08-15,1440,22,False,False,друг,Friend
76,dying,2015-08-15,2800,72,False,False,мечтать прочитывать твой мысль узнавать,to dream to read your thought to learn
77,dying,2015-08-15,1501,94,False,False,почему дружить добавлять стена 1 интересный 2 веселый 3 супер 4 мочь 5 любить 6 хороший подруга 7 привлекательный,why be friends add wall 1 interesting 2 funny 3 super 4 able 5 love 6 good girlfriend 7 attractive
78,dying,2015-08-15,3100,41,False,False,душа пиздец спасибо мальчик,soul fucked thank you boy
79,dying,2015-08-15,1805,35,False,False,делать хотеться равный осуждать конец жизнь,make want equal condemn the end of life
80,dying,2015-08-15,912,37,False,False,каждый диана красивый заботливый добрый нежный милый очаровательный душевный незабываемый ангельский веселый энергичный чудесный романтичный симпатичный единственный ласковый желанный предсказуемый загадочный интриговать хороший скромный понимать улыбчивый честный обаятельный целеустремленный дивный женственный,each diana is beautiful caring kind gentle cute charming soulful unforgettable angelic cheerful energetic wonderful romantic likable the only affectionate desired predictable mysterious intrigue good modest understanding smiling honest charming purposeful wondrous feminine
81,dying,2015-08-15,2205,43,False,False,шрам смеяться ранить,scar laugh hurt
82,dying,2015-08-15,964,21,False,False,каждый аля бандитка ама хасл ама ама хасл,every ala bandit ama hasl ama ama hasl
83,dying,2015-08-15,1672,35,False,False,хотеть кто-нибудь смотреть смотреть шоколадный торт,want anyone to watch watch chocolate cake
84,dying,2015-08-15,2063,39,False,False,нужный далеко,needed far
85,dying,2015-08-15,1609,68,False,False,лето это 3 месяц учебник 92 день свобода 2 208 час счастие 133 480 минута блаженство,summer is 3 month tutorial 92 day freedom 2 208 hour happiness 133 480 minute bliss
86,dying,2015-08-15,2365,22,False,False,хотеть вместо контрольный нарисовать хуй тетрадка,want to draw a dick notebook instead of a control one
87,dying,2015-08-15,1750,39,False,False,п з т е м е н н,p z t e m e n n
88,dying,2015-08-15,1669,31,False,False,безумно захотеться кто-то садиться рядом сказать понимать действительно понимать почему поступать иначе почему просто понимать это важный,craving someone to sit next to say understand really understand why to act otherwise why just understand this is important
89,dying,2015-08-15,1662,31,False,False,лето нужно гулять даша,summer need to walk dasha
90,dying,2015-08-15,2606,40,False,False,холодно обнимать батарея,cold hug battery
91,dying,2015-08-15,2464,58,False,False,катя,Kate
92,dying,2015-08-15,1443,21,False,False,приходить ко чай,come to tea
93,dying,2015-08-15,2372,38,False,False,кристина обижать нужно любить,kristina offend need to love
94,dying,2015-08-15,2509,53,False,False,милый красивый очаровательный девушка парень сдыхать счастие,cute handsome charming girl guy die happiness
95,dying,2015-08-15,1514,36,False,False,голова утро ночь,head morning night
96,dying,2015-08-15,720,29,False,False,забирать стена самый крутой сумасшедший лето прочитывать проигнорировать скучный самый плохой лето,pick up wall coolest crazy summer read ignore boring worst summer
97,dying,2015-08-15,1839,40,False,False,хотеть норма друг,want norm friend
98,dying,2015-08-15,1354,37,False,False,человек встреча который начинать сильно биться сердце каждый подумать особенный человек,a person meeting who starts to beat strongly the heart each think a special person
99,dying,2015-08-15,1227,39,False,False,каждый настя бандитка ама хасл ама ама хасл,every nastya banditka ama hasl ama ama hasl
100,dying,2015-08-15,1355,9,False,False,трахать рак сука,fuck cancer bitch
101,dying,2015-08-15,1330,53,False,False,"почему человек считать иметь право разрушать чужой жизнь уходить обижать звонить бросать ветер слово ... бог решать мучиться жить счастливо сказать « любить », добрый любить последний вздох сказать « обещать », разбиваться лепешка сдерживать обещание произносить « отпускать », сделать оставаться противный случай смысл жить каждый ваш слово равноценный ноль иметь значение","why does a person consider having the right to destroy someone else's life to leave offend call throw the wind a word ... god decide to suffer to live happily say ""love"", good love last breath say ""promise"", break a cake to keep a promise to say ""let go"", make stay opposite case sense live your every word equal zero matter"
102,dying,2015-08-15,667,18,False,False,каждый алена красивый умненький заботливый привлекательный добрый нежный милый очаровательный обворожительный душевный незабываемый неотразимый шикарный божественный завораживать ангельский кокетливый веселый энергичный чудесный романтичный симпатичный единственный ласковый сладенький желанный непредсказуемый загадочный интриговать хороший скромный понимающий заманчивый улыбчивый зажигательный честный обаятельный целеустремленный дивный женственный,each Alena beautiful smart caring attractive kind gentle cute charming charming sincere unforgettable irresistible chic divine bewitch angelic flirtatious cheerful energetic wonderful romantic cute the only affectionate sweet little unpredictable mysterious intrigue good modest understanding alluring smiling incendiary honest charming purposeful wondrous feminine
103,dying,2015-08-15,2073,14,False,False,фото пиздатый чик жизнь должанский,photo bitching chick life dolzhansky
104,dying,2015-08-15,1288,10,True,False,покупать книга называть милая,buy book call sweetheart
105,dying,2015-08-14,1355,33,False,False,почему грустный вика скучать,why sad Vika miss
106,dying,2015-08-14,658,19,False,False,каждый марина должный свой настя,each marina owes its own nastya
107,dying,2015-08-14,1044,5,False,False,винишко наливать ка малый лиля,wine pour ka small lily
108,dying,2015-08-14,833,1,False,False,ева четкий поп хусейн 5 год,eva crisp pop hussein year 5
109,dying,2015-08-14,1643,39,False,False,серо-голубой глазок маленький рост пушлый щечка прекрасный сочетание,gray-blue eye small stature fluffy cheek beautiful combination
110,dying,2015-08-14,764,19,False,False,каждый катя должный свой вика,each katya owes his wiki
111,dying,2015-08-14,1260,26,False,False,сентябрь приближаться ко,september is approaching
112,dying,2015-08-14,379,2,True,False,▼ нажимать поцелуйчик вскоре влюбляться нажимать,▼ press kiss soon fall in love press
113,dying,2015-08-14,95,5,False,True,AppToday это необходимо скачать 12 авг 2015 12 49,AppToday is a must download 12 Aug 2015 12 49
114,dying,2015-08-14,1976,43,False,False,зеленый глаз русый волос маленький рост идеальный сочетание,green eye light brown hair small stature perfect combination
115,dying,2015-08-14,1498,17,False,False,где-то прилавок магазин скучать алкоголь,somewhere counter shop miss alcohol
116,dying,2015-08-14,1834,34,False,False,ребенок хотеть взрослый взрослый хотеть ребенок подросток хотеть вообще,child want adult adult want child teenager want at all
117,dying,2015-08-14,87,0,True,True,DELETED 5 авг 2015 9 04,DELETED 5 Aug 2015 9 04
118,dying,2015-08-14,1335,27,False,False,кажется забывать рано поздно вспоминать заново,it seems to forget too late to remember again
119,dying,2015-08-14,1021,17,False,False,каждый должный свой марина,everyone has his own marina
120,dying,2015-08-14,1649,25,False,False,завтра,Tomorrow
121,dying,2015-08-14,698,14,False,False,оптимизм жажда жизнь положительный настрой попробовать сука расстраивать,optimism thirst life positive attitude try bitch upset
122,dying,2015-08-14,1873,76,False,False,парень заметка девушка 1 злой уходить идти 2 внимательно смотреть твой губа поцелуй 3 отталкивать держать отпускать 4 обзывать целовать говорить любить 5 злой сказать очень милый 6 тихий спрашивать 7 игнорировать привлекать внимание 8 показывать плохой сторона говорить красивый 9 видеть начинать плакать обнимать оставлять планета 10 класть свой голова твой плечо опускаться поцелуй 11 говорить нравиться самый дело хотеть сказать 12 рассказывать секрет хранить 13 смотреть глаз опускать пока это сделать 14 скучать больно 15 « ломать » сердце боль обида проходить 16 говорить кончаться хотеть ... 17 взять рука мгновение важно .) показывать,"guy note girl 1 angry walk away 2 look closely at your lip kiss 3 push away keep letting go 4 call names kissing say love 5 angry say very cute 6 quiet ask 7 ignore attract attention 8 show bad side speak handsome 9 see start cry hug leave planet 10 put your own head your shoulder drop a kiss 11 talk like the most thing want to say 12 tell a secret to keep 13 look eye down while doing it 14 miss it hurts 15 ""break"" the heart pain resentment pass 16 talk end wanting ... 17 take a hand a moment is important.) show"
123,dying,2015-08-14,1660,36,False,False,говорить никак мочь забывать человек нужный,say no way to be able to forget the right person
124,dying,2015-08-14,969,9,False,False,успокаивать свой объятие,soothe your hug
125,dying,2015-08-14,2201,50,False,False,весь мир жизнь мама,the whole world life mom
126,dying,2015-08-14,1108,22,False,False,сначала человек говорить мочь друг друг знать друг друг хотеть,first person to talk to be able to each other to know each other to want
127,dying,2015-08-14,1187,23,False,False,представлять сильно хотеть поговорить,represent strongly want to talk
128,dying,2015-08-14,1176,17,False,False,почему грустный катя соскучиться,why sad katya get bored
129,dying,2015-08-14,1111,29,True,False,первый любовь самый сильный помнить конец жизнь,first love the strongest remember the end of life
130,dying,2015-08-14,1013,6,False,False,го бегать голый крыша курить,go run naked roof smoke
131,dying,2015-08-14,701,11,False,False,скучать соня,miss sleepyhead
132,dying,2015-08-14,1133,20,False,False,"вопрос дело просто отвечать нормально услышать ясно "", рассказывать услышать понятно","question business just answer normally hear clearly "" tell hear clearly"
133,dying,2015-08-14,923,6,False,False,пидар пидар пидар пидар пидар пидар пидар,fagot fagot fagot fagot fagot fagot fagot
134,dying,2015-08-14,1165,9,False,False,ой это быстро пролетать это лето оно каждый год пролетать,oh it's flying by fast this summer it's flying by every year
135,dying,2015-08-14,1006,15,False,False,обижаться человек просто менять мнение вытаскивать человек грязь вытаскивать грязь человек,take offense man just change his mind pull out the dirt man pull out the dirt man
136,dying,2015-08-14,1170,21,False,False,удаль забывать,prowess to forget
137,dying,2015-08-14,1406,25,False,False,гулять телефон это,walk phone it
138,dying,2015-08-14,978,15,False,False,самый ужасный это действительно нужный поддержка сидеть телефон рука знать чей номер набирать,the worst is really needed support sit phone hand know whose number to dial
139,dying,2015-08-14,1120,16,False,False,слишком стремный счастие,too dumb happiness
140,dying,2015-08-14,1171,36,False,False,человек убивать четыре способ 1 санта лючия санта лючия 2 боже мама мама сходить ум 3 это шутка встречаться маршрутка 4 э слышь че дерзкий,man kill four way 1 santa lucia santa lucia 2 god mom mom go mind 3 it's a joke meet minibus 4 uh hear che cocky
141,dying,2015-08-14,630,6,False,False,пусть лето интернет,let summer internet
142,dying,2015-08-14,944,9,False,False,обидно чмо,it's a shame schmuck
143,dying,2015-08-14,2002,42,False,False,карий глаз темный волос маленький рост великолепный сочетание,brown eye dark hair small stature gorgeous combination
144,dying,2015-08-14,1252,18,True,False,чувство,feeling
145,dying,2015-08-14,1861,22,False,False,нравиться парень который намного высоко приятно пахнуть великолепно обниматься,like a guy who is much taller nice smell great cuddle
146,dying,2015-08-13,234,1,True,False,жать принцесск смотреть получаться,reap princess look turn out
147,dying,2015-08-13,1325,12,False,False,таить вид,hide the look
148,dying,2015-08-13,956,8,False,False,самый жизнь который смотреть фильм читать книга,most life who watch movie read book
149,dying,2015-08-13,432,28,False,False,репост бояться смочь отвечать весь вопрос правильный купить шоколадка 1 фамилия 2 имя 3 отчество 4 любимый цвет 5 любимый песня 6 любимая шоколадка 7 любимый напиток 8 сколько год 9 любимый фильм 10 хороший подруга детство 11 цвет глаз 12 любимый мультфильм 13 любимый цветок 14 любимый урок,repost afraid to be able to answer the whole question correct buy chocolate 1 last name 2 first name 3 middle name 4 favorite color 5 favorite song 6 favorite chocolate 7 favorite drink 8 what year 9 favorite movie 10 good friend childhood 11 eye color 12 favorite cartoon 13 favorite flower 14 favorite lesson
150,dying,2015-08-13,795,0,True,False,лайк,like
151,dying,2015-08-13,1216,24,False,False,знать это ничто интересно кроме человек весь плевать единственный крутиться голова это мысль человек,know it's nothing interesting except man whole spit the only spinning head is thought man
152,dying,2015-08-13,1226,22,False,False,хороший подруга запоминать упасть подымать заканчивать ржать,good girlfriend remember fall raise finish laugh
153,dying,2015-08-13,1040,13,False,False,отпускать мочь уебывать нахуй,let go be able to fuck off
154,dying,2015-08-13,879,18,False,False,обещать обещать сделать,promise promise to do
155,dying,2015-08-13,579,9,False,False,жить жить твой жизнь появляться полина,live live your life appear polina
156,dying,2015-08-13,988,15,False,False,забывать твой поцелуй,forget your kiss
157,dying,2015-08-13,735,21,False,False,хороший пора это запоминать жить свой удовольствие,good time is to remember to live your fun
158,dying,2015-08-13,1155,29,False,False,любить катя кормить катя писать катя гулять катя ценить катя обнимать катя беречь катя,love Katya feed Katya write Katya walk Katya appreciate Katya hug Katya protect Katya
159,dying,2015-08-13,1475,13,False,False,го спиваться,go to drink
160,dying,2015-08-13,777,6,False,False,делаться хороший,become good
161,dying,2015-08-13,823,19,False,False,адекватный пока встречать катя,adequate until meet katya
162,dying,2015-08-13,740,7,False,False,весь,the whole
163,dying,2015-08-13,839,5,False,False,близко близкие,close close
164,dying,2015-08-13,617,15,False,False,лето нужно проводить лиза,summer must be spent lisa
165,dying,2015-08-13,1021,10,False,False,оказываться уебок,turn out to be a motherfucker
166,dying,2015-08-13,905,13,False,False,запоминать пророчество когда-нибудь сон страдать одиночество снова прийти ко э асадов,memorize the prophecy someday sleep suffer loneliness again come to e asadov
167,dying,2015-08-13,1111,22,False,False,адекватный пока встречать настя,adequate until meet nastya
168,dying,2015-08-13,1617,20,False,False,лезть вскрывать,climb open
169,dying,2015-08-13,1261,13,False,False,почему сразу мочь сказать привыкать ко очень нужный,why immediately be able to say get used to the very necessary
170,dying,2015-08-13,875,17,False,False,любовь даша,love Dasha
171,dying,2015-08-13,1273,23,False,False,хотеть просто дружить влюбляться,just want to be friends fall in love
172,dying,2015-08-13,879,13,False,False,карина рядом враг ложиться град,karina next enemy lie down hail
173,dying,2015-08-13,1161,16,False,False,мама взрослеть становиться больно,mom grow up it hurts
174,dying,2015-08-13,443,2,False,False,экзамен 2 неделя отсчет пойти тунеядец,exam 2 week countdown go parasite
175,dying,2015-08-13,575,17,False,False,д добрый артистичный ш шикарный афигенный,q kind artistic sh chic awesome
176,dying,2015-08-13,963,9,False,False,любить пьяненький мальчик,love drunk boy
177,dying,2015-08-13,1127,14,False,False,чувство забывать человек взять написать это сделать,feeling forget man take write it do it
178,dying,2015-08-13,489,12,False,False,каждый яна фея,every yana fairy
179,dying,2015-08-13,485,14,False,False,каждый настя должный свой ира,each Nastya owes his own Ira
180,dying,2015-08-13,815,13,False,False,обижать рита хороший,offend rita nice
181,dying,2015-08-13,1169,17,False,False,скучать макс,miss max
182,dying,2015-08-13,558,9,False,False,славик это хороший друг братан опасный парень идеальный мужчина реальный пацан самый хороший человек свет,slavik is a good friend bro dangerous guy perfect man real kid the nicest man in the world
183,dying,2015-08-12,1127,22,False,False,мочь когда-нибудь увидеться улыбаться встреча знать забывать вдвоем веселиться хотеть уходить дом просто хотеть вместе бац заканчиваться,be able to see each other someday smile meeting know forget together have fun want to leave home just want together bam end
184,dying,2015-08-12,1301,24,False,False,девиз жизнь пиза ец погнать,motto life pisa ec drive
185,dying,2015-08-12,379,8,False,False,каждый диана красивый умненький заботливый привлекательный добрый нежный милый очаровательный обворожительный душевный незабываемый неотразимый шикарный божественный завораживать ангельский кокетливый веселый энергичный чудесный романтичный симпатичный единственный ласковый сладенький желанный непредсказуемый загадочный интриговать хороший скромный понимающий заманчивый улыбчивый зажигательный честный обаятельный целеустремленный дивный женственный,each diana beautiful smart caring attractive kind gentle cute charming charming sincere unforgettable irresistible chic divine bewitch angelic flirtatious cheerful energetic wonderful romantic cute the only affectionate sweet desired unpredictable mysterious intrigue good modest understanding alluring smiling incendiary honest charming purposeful wondrous feminine
186,dying,2015-08-12,938,19,False,False,любовь непредсказуемый штука мочь весь жизнь ходить мимо человек замечать завтра бояться отпускать рука,love is an unpredictable thing to be able to walk past a person to notice tomorrow to be afraid to let go
187,dying,2015-08-12,1066,17,False,False,человек писать ночь думать сон ценить это,man write night think sleep appreciate it
188,dying,2015-08-12,2293,35,False,False,ночь наушники мечта,night headphones dream
189,dying,2015-08-12,839,11,False,False,пустой мурашки кожа звонить равный легкость мочь отвечать писать сниться 2 ночь подряд отправлять смайлик ответ понимать,empty goosebumps skin call equal ease be able to answer write dream 2 consecutive nights send emoticon answer understand
190,dying,2015-08-12,1176,18,False,False,бывать день который хотеться поставлять повтор,be the day that you want to deliver a repeat
191,dying,2015-08-12,901,26,False,False,знать прекрасный прочитывать первый слово,know beautiful read the first word
192,dying,2015-08-12,569,3,False,False,каждый причитаться столько счастие сколько сила подарить ..,everyone is owed as much happiness as strength to give ..
193,dying,2015-08-12,544,8,False,False,вроде свободный вроде поиск активный вроде находить,like free like search active like find
194,dying,2015-08-12,1573,24,False,False,скучать саша,miss Sasha
195,dying,2015-08-12,784,7,False,False,делать невероятно болезненный вещь продолжать верить человек причина который вести,do an incredibly painful thing keep believing man the reason that lead
196,dying,2015-08-12,528,9,False,False,бросать слово ветер погода переменчивый вероятность некоторый время направление ветер изменяться именно ваш слово сбивать нога,throw word wind weather changeable probability some time direction wind change exactly your word knock down foot
197,dying,2015-08-12,883,18,False,False,"ночь A пойти спать "", подумать A пойти отвечать интернет","night A go to sleep ', think A go answer the internet"
198,dying,2015-08-12,392,2,False,False,счастие простой незабываемый момент главное открываться жить мир который куда-то постоянно спешить просто важно останавливаться наслаждаться момент,"happiness is a simple unforgettable moment, the main thing is to open up to live a world that is constantly in a hurry somewhere, it’s just important to stop enjoying the moment"
199,dying,2015-08-12,673,10,False,False,твой хороший подруга даша,your good friend dasha
200,dying,2015-08-12,635,3,False,False,жаловаться одиночество хотя подпускать человек,complain of loneliness though let a man down
201,dying,2015-08-12,1002,18,False,False,молчать молчать боль проблема тайна страх рвать изнутри молчать иначе давить бить сыпать соль твой рана молчать похер неважно просто,be silent be silent pain problem secret fear tear from within be silent otherwise press beat pour salt your wound be silent don't care just
202,dying,2015-08-12,1306,26,False,False,весь мир жизнь мама,the whole world life mom
203,dying,2015-08-12,840,6,False,False,запоминать вещь надоедать быстро который орать люблюнемогать,memorize a thing annoy quickly who yell lovesick
204,dying,2015-08-12,790,22,False,False,музыка это след который вернуться разный время жизнь,music is a track that comes back different time life
205,dying,2015-08-12,1516,21,False,False,девушка который чистый нога единый синяк укус комар царапина шрам колено развлекаться вообще,girl who clean leg single bruise bite mosquito scratch scar knee have fun at all
206,dying,2015-08-12,677,10,False,False,модно благодарить вранье обижаться говорить правда,it is fashionable to thank lies to be offended to tell the truth
207,dying,2015-08-12,715,1,False,False,лгать доверять доверять солгать ...,lie trust trust lie...
208,dying,2015-08-12,882,15,False,False,каждый должный свой ксюша,everyone owes his own ksenia
209,dying,2015-08-12,960,15,False,False,короче плевать человек обо думать,in short spit man about to think
210,dying,2015-08-12,844,8,False,False,просто общаться человек наедине наедине становиться человек,just chat a man alone alone become a man
211,dying,2015-08-12,404,6,False,False,каждый марина принцесска,every marina princess
212,dying,2015-08-12,492,1,False,False,говорить слово говорить,speak the word speak
213,dying,2015-08-12,740,12,False,False,внешность смотреть возраст снаружи внутри,appearance look age outside inside
214,dying,2015-08-12,314,7,False,False,подруга это святой особенно звать леся,girlfriend is a saint especially call Lesya
215,dying,2015-08-12,669,5,False,False,блин бывать ненавидеть человек отталкивать некоторый время понимать хватать,pancake happen to hate a person repel some time understand grab
216,dying,2015-08-12,558,9,False,False,весь мир отвертываться взять твой рука уходить вместе,the whole world turn away take your hand leave together
217,dying,2015-08-12,754,13,False,False,история злой алина алин добрый,story evil alina alyn good
218,dying,2015-08-12,644,13,True,False,иметь ребенок понимать жизнь который дорогой собственный,have a child understand life which is dear own
219,dying,2015-08-12,957,13,False,False,встречать рассвет голова ночь,meet dawn head night
220,dying,2015-08-12,956,31,False,False,посвящать пост хороший подруга спасибо терпеть,dedicate post good friend thank you endure
221,dying,2015-08-12,641,7,False,False,причина из-за который эмоция бушевать сводить ум ураган боль,cause because of which emotion rage drive mind hurricane pain
222,dying,2015-08-12,729,14,False,False,правда это штука который хотеться знать который хотеться верить,the truth is a thing that you want to know that you want to believe
223,dying,2015-08-12,531,13,False,False,каждый должный свой арина,everyone owes his arina
224,dying,2015-08-12,810,11,False,False,любой плохой день исправлять хороший человек,any bad day is fixed by a good man
225,dying,2015-08-11,1243,20,True,False,мама носить 9 месяц живот 3 х год рука весь жизнь свой сердце ...,mom wear 9 month belly 3 x year arm whole life your heart...
